5 to 17,18 to 64,65+,Native,Foreign born,Naturalized U.S. citizen,Not a U.S. citizen,Below poverty level,At or above poverty level,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree or higher,State,Language
13.7,65.8,20.5,73.6,26.4,11,15.4,21.4,78.6,23.5,30.5,27.3,18.7,New Mexico,Other Language
15,64.4,20.7,74,26,9.8,16.2,20.2,79.8,25.6,31.8,26.1,16.5,New Mexico,Spanish
15.9,63.7,20.4,91.8,8.2,5.9,2.3,12.1,87.9,7.4,24.8,25.1,42.7,New York,Only English
15.3,68.4,16.3,40.8,59.2,34.1,25.1,18.3,81.7,22.5,24,19.5,34,New York,Other Language
16.1,69.9,13.9,50.2,49.8,23.7,26.1,21.1,78.9,28.7,28.2,21.6,21.5,New York,Spanish
16.3,63.7,20,98,2,1.3,0.7,11.7,88.3,7.9,25.3,30.7,36.2,North Carolina,Only English
21.1,70.9,8,43.6,56.4,22.4,34,17.3,82.7,24.5,21.7,19.7,34.1,North Carolina,Other Language
25.3,69.4,5.3,52.6,47.4,12,35.3,21,79,34.2,26.7,20.4,18.6,North Carolina,Spanish
18.2,63.5,18.3,98,2,0.7,1.4,10.7,89.3,5.3,25.6,37.1,31.9,North Dakota,Only English
17.8,70.8,11.4,53.4,46.6,21.9,24.7,21.5,78.5,16.4,25.1,27.5,31,North Dakota,Other Language
26.5,68.8,4.7,72.1,27.9,17,10.8,12.2,87.8,24.5,26.4,26.8,22.4,North Dakota,Spanish
17.1,62.8,20.1,98.8,1.2,0.8,0.4,12.8,87.2,7.2,32.8,28.6,31.4,Ohio,Only English
17.5,69.9,12.6,46.9,53.1,27.6,25.4,16.8,83.2,21.3,21.6,18.1,39.1,Ohio,Other Language
20.5,69.7,9.8,65.4,34.6,11.2,23.3,22.5,77.5,26.7,28.5,21.1,23.7,Ohio,Spanish
18.6,62.8,18.6,98.9,1.1,0.7,0.4,14.8,85.2,8.3,31,31.6,29.1,Oklahoma,Only English
21,70.6,8.5,50.9,49.1,17.9,31.3,19.1,80.9,29.3,26.5,20.8,23.5,Oklahoma,Other Language
24.4,69.2,6.4,56.6,43.4,11.3,32.1,19.8,80.2,37.8,29.8,19.2,13.1,Oklahoma,Spanish
15,62.9,22.1,97.4,2.6,1.6,0.9,11.5,88.5,5.7,22.8,34.3,37.2,Oregon,Only English
19.3,70.7,10,46.4,53.6,23.5,30.1,14.2,85.8,24.2,22,22.4,31.4,Oregon,Other Language
22.9,70.5,6.5,54.4,45.6,13.2,32.5,14.5,85.5,34,25.9,23.3,16.8,Oregon,Spanish
15.8,62.4,21.8,98,2,1.3,0.7,10.8,89.2,6.1,34.1,24.7,35.1,Pennsylvania,Only English
16.7,71,12.3,49.8,50.2,27.3,22.9,17.3,82.7,20.8,24.8,19.6,34.8,Pennsylvania,Other Language
18.3,72.9,8.7,63.5,36.5,15.7,20.8,23.4,76.6,25,32,23.1,19.9,Pennsylvania,Spanish
14.6,64.3,21.2,96.6,3.4,2,1.3,8.9,91.1,5.6,23.4,27.7,43.2,Rhode Island,Only English
14.3,70.9,14.9,43.5,56.5,28.6,27.9,17.6,82.4,23.1,29.2,20.7,27,Rhode Island,Other Language
